cascade_id,maj_label,hate_dummy,cascade_size,cascade_lifetime,cascade_structural_virality,followers_count,following_count,verified_dummy,root_account_age,tweet_count_byage,media_dummy,mention_dummy,hashtag_dummy,tweet_length,tweet_uncleaned_length,WC,i,you,shehe,we,they,pronoun,ppron,ipron,i_count,you_count,shehe_count,we_count,they_count,pronoun_count,ppron_count,ipron_count,second_person_dummy,directed_dummy,sentiment
10,normal,0,12,25,2.89,444,369,0,2308.9769212962965,2.44,0,0,0,141,140,30,0.0,10.0,0.0,0.0,0.0,20.0,10.0,10.0,0,3,0,0,0,6,3,3,1,0,0.726
11,normal,0,1,0,0.0,43,56,0,4669.283541666667,0.73,1,0,1,104,117,39,0.0,0.0,0.0,0.0,0.0,2.56,0.0,2.56,0,0,0,0,0,1,0,1,0,0,0.599
12,normal,0,1,0,0.0,1191,2551,0,3678.1669444444447,4.47,1,1,0,106,122,20,0.0,0.0,0.0,5.0,0.0,15.0,5.0,10.0,0,0,0,1,0,3,1,2,0,0,0.586
13,normal,0,1,0,0.0,208,1,0,2598.115173611111,33.63,0,0,0,133,132,28,0.0,3.57,0.0,0.0,0.0,7.14,3.57,3.57,0,1,0,0,0,2,1,1,1,0,-0.747
14,normal,0,1,0,0.0,10286,850,1,3699.0948842592593,3.52,1,0,0,80,80,17,0.0,0.0,0.0,5.88,0.0,11.76,5.88,5.88,0,0,0,1,0,2,1,1,0,0,-0.075
15,normal,0,1,0,0.0,2171,2472,0,2457.9275578703705,9.7,0,0,1,127,140,20,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0,0,0,0,1,1,1,0,0,0,-0.787
16,normal,0,1,0,0.0,236,175,0,4822.387118055555,14.84,0,0,0,106,106,23,0.0,0.0,0.0,0.0,0.0,17.39,0.0,17.39,0,0,0,0,0,4,0,4,0,0,0.625
17,normal,0,1,0,0.0,16301,18293,0,4837.0351504629625,109.58,1,0,1,62,87,15,6.67,0.0,0.0,0.0,0.0,6.67,6.67,0.0,1,0,0,0,0,1,1,0,0,0,0.128
18,normal,0,1,0,0.0,3942,3811,0,3863.005069444445,15.42,0,0,0,132,132,33,18.18,3.03,0.0,0.0,0.0,21.21,21.21,0.0,6,1,0,0,0,7,7,0,1,0,0.934
19,normal,0,1,0,0.0,56927,308,1,3285.5811805555554,14.48,1,0,0,66,66,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.494
20,normal,0,2,0,1.0,94857,1355,1,4873.214780092592,20.89,1,1,0,90,100,17,0.0,0.0,11.76,0.0,0.0,11.76,11.76,0.0,0,0,2,0,0,2,2,0,0,0,-0.273
21,normal,0,1,0,0.0,174,448,0,4108.1506944444445,0.71,0,0,0,109,108,25,0.0,0.0,4.0,4.0,4.0,12.0,12.0,0.0,0,0,1,1,1,3,3,0,0,0,0.493
22,normal,0,1,0,0.0,11,0,0,3928.278391203704,0.09,1,1,1,62,87,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
23,normal,0,1,0,0.0,842,814,0,4180.833784722222,14.27,1,1,1,107,123,18,0.0,0.0,0.0,5.56,0.0,5.56,5.56,0.0,0,0,0,1,0,1,1,0,0,0,-0.226
24,normal,0,2,20,1.0,883,810,0,2814.8116319444443,0.63,1,1,0,125,140,24,0.0,0.0,0.0,0.0,0.0,4.17,0.0,4.17,0,0,0,0,0,1,0,1,0,0,0.294
25,normal,0,2,0,1.0,5259,2469,0,4870.959212962963,3.05,1,1,1,69,118,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.077
26,normal,0,2,1,1.0,5084,6,0,2375.807615740741,4.53,1,0,1,137,141,35,2.86,5.71,0.0,0.0,0.0,8.57,8.57,0.0,1,2,0,0,0,3,3,0,1,0,0.0
27,normal,0,1,0,0.0,325,197,0,4098.750081018518,2.46,0,1,1,56,120,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.294
28,normal,0,1,0,0.0,1143,4644,0,2199.172789351852,2.24,1,0,1,84,93,18,0.0,5.56,0.0,0.0,0.0,16.67,5.56,11.11,0,1,0,0,0,3,1,2,1,0,0.625
29,normal,0,1,0,0.0,236,231,0,3818.3737847222224,36.5,0,0,0,122,122,36,8.33,0.0,0.0,0.0,0.0,11.11,8.33,2.78,3,0,0,0,0,4,3,1,0,0,-0.338
30,normal,0,1,0,0.0,15,8,0,2949.5095370370373,0.03,0,1,0,126,139,24,0.0,4.17,0.0,0.0,0.0,20.83,4.17,16.67,0,1,0,0,0,5,1,4,1,1,0.0
31,normal,0,1,0,0.0,3239,2876,0,2857.2155671296296,50.69,1,0,1,87,105,24,0.0,8.33,4.17,0.0,0.0,12.5,12.5,0.0,0,2,1,0,0,3,3,0,1,0,0.813
32,normal,0,1,0,0.0,13303,915,0,4494.078495370371,2.02,0,0,1,127,139,29,0.0,0.0,0.0,0.0,0.0,3.45,0.0,3.45,0,0,0,0,0,1,0,1,0,0,-0.202
33,normal,0,1,0,0.0,914,3412,0,2276.320185185185,1.98,1,1,0,81,89,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.202
34,normal,0,1,0,0.0,20,20,0,2076.929953703704,0.52,0,0,0,140,140,27,7.41,0.0,3.7,0.0,0.0,18.52,11.11,7.41,2,0,1,0,0,5,3,2,0,0,0.103
35,normal,0,1,0,0.0,235,219,0,2311.749976851852,15.91,0,0,1,127,143,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.052
36,normal,0,1,0,0.0,1,0,0,2378.272523148148,6.25,1,0,0,78,78,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.491
37,normal,0,3,1,1.33,274410,896,1,4899.041736111111,9.18,1,1,0,70,82,17,0.0,0.0,5.88,0.0,0.0,5.88,5.88,0.0,0,0,1,0,0,1,1,0,0,0,0.0
38,normal,0,1,0,0.0,182,556,0,4855.253090277778,23.72,1,0,1,80,91,12,0.0,0.0,0.0,0.0,0.0,8.33,0.0,8.33,0,0,0,0,0,1,0,1,0,0,0.44
39,normal,0,2,0,1.0,319,350,0,4253.104143518519,0.89,1,1,0,89,113,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.2
40,normal,0,1,0,0.0,2,22,0,1989.2224421296296,0.45,1,0,1,80,87,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.335
41,normal,0,2,0,1.0,306,102,0,4685.657037037037,0.51,1,0,1,126,138,28,7.14,3.57,0.0,0.0,0.0,25.0,10.71,14.29,2,1,0,0,0,7,3,4,1,0,-0.525
42,normal,0,1,0,0.0,553,422,0,2287.1144444444444,40.19,1,0,0,115,115,21,0.0,0.0,0.0,0.0,4.76,4.76,4.76,0.0,0,0,0,0,1,1,1,0,0,0,-0.557
43,normal,0,1,0,0.0,177,265,0,2504.8275578703706,0.39,0,0,0,132,132,25,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0,0,1,0,0,1,1,0,0,0,0.67
44,normal,0,1,0,0.0,1894,1085,0,4203.339016203704,11.31,0,0,0,109,108,23,17.39,0.0,0.0,0.0,4.35,30.43,21.74,8.7,4,0,0,0,1,7,5,2,0,0,0.875
45,normal,0,1,0,0.0,884,1037,0,4068.644201388889,13.44,1,1,0,29,81,6,16.67,16.67,0.0,0.0,0.0,33.33,33.33,0.0,1,1,0,0,0,2,2,0,1,1,0.0
46,normal,0,1,0,0.0,2580,1406,0,2496.032719907407,77.69,0,0,0,103,103,24,0.0,4.17,8.33,0.0,0.0,12.5,12.5,0.0,0,1,2,0,0,3,3,0,1,0,-0.296
47,normal,0,1,0,0.0,29,35,0,2087.117210648148,0.55,1,0,0,136,136,24,0.0,4.17,0.0,0.0,0.0,12.5,4.17,8.33,0,1,0,0,0,3,1,2,1,0,-0.168
48,normal,0,1,0,0.0,525,2500,0,3652.252384259259,11.13,1,0,1,97,110,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.178
49,normal,0,1,0,0.0,405,883,0,4793.846597222222,1.22,1,0,0,104,102,28,0.0,0.0,0.0,3.57,0.0,3.57,3.57,0.0,0,0,0,1,0,1,1,0,0,0,0.0
50,normal,0,1,0,0.0,3251,1143,0,2799.0794907407408,15.26,1,0,1,99,117,22,4.55,4.55,0.0,0.0,0.0,18.18,9.09,9.09,1,1,0,0,0,4,2,2,1,0,0.0
51,normal,0,1,0,0.0,1678,1122,0,3832.131261574074,2.08,0,1,1,108,131,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.42
52,normal,0,1,0,0.0,526,1953,0,4651.172256944445,0.33,1,0,0,84,84,19,0.0,5.26,0.0,5.26,0.0,21.05,10.53,10.53,0,1,0,1,0,4,2,2,1,0,0.676
53,normal,0,1,0,0.0,828,96,0,3922.804861111111,12.67,1,0,1,71,85,12,0.0,0.0,16.67,0.0,0.0,16.67,16.67,0.0,0,0,2,0,0,2,2,0,0,0,0.0
54,normal,0,2,33,1.0,9523,6297,0,3284.2732407407407,5.82,1,1,1,75,117,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
55,normal,0,1,0,0.0,36,95,0,2268.927453703704,0.75,1,0,0,139,138,32,0.0,3.12,0.0,6.25,0.0,21.88,9.38,12.5,0,1,0,2,0,7,3,4,1,0,0.0
56,normal,0,1,0,0.0,244,222,0,4363.202581018519,4.23,0,0,0,141,139,31,16.13,0.0,0.0,0.0,0.0,22.58,16.13,6.45,5,0,0,0,0,7,5,2,0,0,-0.411
57,normal,0,1,0,0.0,45,10,0,2898.265891203704,2.28,1,0,1,71,92,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
58,normal,0,10,3,2.22,25994,823,0,4620.2442013888885,12.83,1,0,0,82,82,19,0.0,0.0,0.0,0.0,0.0,5.26,0.0,5.26,0,0,0,0,0,1,0,1,0,0,0.689
59,normal,0,1,0,0.0,159,0,0,4849.173472222222,91.45,0,0,0,131,131,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.296
60,normal,0,3,0,1.33,2784,1970,0,4916.2059375,5.95,0,0,1,105,118,27,0.0,0.0,0.0,3.7,3.7,7.41,7.41,0.0,0,0,0,1,1,2,2,0,0,0,0.57
61,normal,0,1,0,0.0,2162,2688,0,4812.848564814814,3.0,1,0,1,71,78,12,0.0,0.0,0.0,8.33,0.0,8.33,8.33,0.0,0,0,0,1,0,1,1,0,0,0,0.0
62,normal,0,1,0,0.0,60637,55307,0,2832.181608796296,5.89,1,1,1,94,122,18,0.0,11.11,0.0,0.0,0.0,11.11,11.11,0.0,0,2,0,0,0,2,2,0,1,1,0.0
63,normal,0,1,0,0.0,56,185,0,4757.6778125,0.14,1,0,1,90,120,17,0.0,0.0,0.0,0.0,0.0,11.76,0.0,11.76,0,0,0,0,0,2,0,2,0,0,0.69
64,normal,0,2,0,1.0,5731,3443,0,3598.002037037037,8.78,1,0,1,35,56,5,20.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,1,0,0,0,0,1,1,0,0,0,-0.361
65,normal,0,1,0,0.0,758,1218,0,4496.703078703704,0.93,1,0,1,113,131,22,0.0,0.0,0.0,0.0,0.0,4.55,0.0,4.55,0,0,0,0,0,1,0,1,0,0,0.0
66,normal,0,2,2,1.0,831,450,0,2764.8890625,3.87,1,0,0,110,109,25,12.0,0.0,0.0,0.0,0.0,24.0,12.0,12.0,3,0,0,0,0,6,3,3,0,0,0.599
67,normal,0,42,40,2.53,344366,820,1,4833.089976851852,3.57,1,0,1,58,79,13,0.0,0.0,0.0,7.69,0.0,7.69,7.69,0.0,0,0,0,1,0,1,1,0,0,0,0.0
68,normal,0,1,0,0.0,1069,1076,0,2117.733703703704,1.59,1,0,0,93,93,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
69,normal,0,1,0,0.0,1679,567,0,3683.512546296297,21.02,1,0,0,123,121,25,4.0,0.0,0.0,4.0,12.0,24.0,20.0,4.0,1,0,0,1,3,6,5,1,0,0,0.494
70,normal,0,1,0,0.0,67,711,0,3352.9548842592594,0.92,1,1,1,90,115,17,11.76,0.0,0.0,0.0,0.0,17.65,11.76,5.88,2,0,0,0,0,3,2,1,0,0,-0.421
71,normal,0,1,0,0.0,14324,88,1,3529.6149884259257,2.17,1,0,1,114,126,21,0.0,4.76,0.0,9.52,0.0,14.29,14.29,0.0,0,1,0,2,0,3,3,0,1,0,0.872
72,normal,0,1,0,0.0,1321,1481,0,3384.6739814814814,27.99,1,0,0,81,81,39,10.26,0.0,0.0,0.0,0.0,10.26,10.26,0.0,4,0,0,0,0,4,4,0,0,0,0.0
73,normal,0,5,28,2.0,1337,977,0,3616.001400462963,14.04,0,0,0,125,125,29,0.0,10.34,0.0,0.0,0.0,17.24,10.34,6.9,0,3,0,0,0,5,3,2,1,0,0.772
74,normal,0,1,0,0.0,441,582,0,2882.818275462963,18.87,1,0,0,102,102,29,10.34,13.79,0.0,0.0,0.0,24.14,24.14,0.0,3,4,0,0,0,7,7,0,1,0,0.0
75,normal,0,6,23,1.93,106195,458,1,4924.217418981481,6.25,1,1,0,56,88,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.44
76,normal,0,1,0,0.0,152,4,0,3631.395011574074,23.51,0,0,1,112,124,28,3.57,0.0,0.0,0.0,0.0,3.57,3.57,0.0,1,0,0,0,0,1,1,0,0,0,0.382
77,normal,0,1,0,0.0,37,9,0,3726.030451388889,0.08,1,1,0,57,71,11,9.09,0.0,0.0,0.0,0.0,18.18,9.09,9.09,1,0,0,0,0,2,1,1,0,0,0.612
78,normal,0,1,0,0.0,0,6,0,3056.356875,0.37,1,0,1,80,87,14,0.0,0.0,0.0,0.0,0.0,7.14,0.0,7.14,0,0,0,0,0,1,0,1,0,0,0.658
79,normal,0,1,0,0.0,39921,229,0,3693.401840277778,10.76,1,0,0,98,98,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
80,normal,0,1,0,0.0,6263,6569,0,2201.051296296296,64.95,1,0,0,133,131,33,3.03,3.03,6.06,0.0,0.0,15.15,12.12,3.03,1,1,2,0,0,5,4,1,1,0,-0.607
81,normal,0,2,1,1.0,295,157,0,2037.5391319444443,47.96,1,0,0,88,88,17,5.88,0.0,5.88,0.0,0.0,17.65,11.76,5.88,1,0,1,0,0,3,2,1,0,0,0.805
82,normal,0,1,0,0.0,28,738,0,3123.315208333333,27.67,0,0,0,132,132,27,3.7,0.0,0.0,0.0,3.7,14.81,7.41,7.41,1,0,0,0,1,4,2,2,0,0,0.593
83,normal,0,1,0,0.0,37,187,0,2192.119247685185,0.32,1,0,0,90,89,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
84,normal,0,1,0,0.0,1,22,0,2080.022534722222,0.55,1,0,1,80,87,14,0.0,0.0,0.0,0.0,0.0,7.14,0.0,7.14,0,0,0,0,0,1,0,1,0,0,0.658
85,normal,0,1,0,0.0,84,204,0,3917.826087962963,0.07,1,0,0,80,80,16,12.5,0.0,0.0,0.0,0.0,12.5,12.5,0.0,2,0,0,0,0,2,2,0,0,0,0.0
86,normal,0,1,0,0.0,13,33,0,4100.402175925926,0.07,1,0,0,79,79,17,5.88,5.88,0.0,0.0,0.0,11.76,11.76,0.0,1,1,0,0,0,2,2,0,1,0,0.637
87,normal,0,1,0,0.0,530,27,0,4455.277615740741,0.07,0,1,0,111,139,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
88,normal,0,1,0,0.0,471,744,0,5026.2567476851855,35.33,1,0,1,70,84,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
89,normal,0,2,63,1.0,433,542,0,4978.313576388889,1.69,0,0,1,70,101,17,0.0,0.0,0.0,0.0,0.0,11.76,0.0,11.76,0,0,0,0,0,2,0,2,0,0,0.572
90,normal,0,1,0,0.0,1055,8,0,4792.25300925926,0.17,1,0,0,70,70,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
91,normal,0,1,0,0.0,195,3122,0,3790.060011574074,9.19,1,1,1,69,90,14,7.14,0.0,0.0,0.0,0.0,7.14,7.14,0.0,1,0,0,0,0,1,1,0,0,0,0.772
92,normal,0,1,0,0.0,87,0,0,2005.5939236111112,56.5,1,0,0,81,81,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
93,normal,0,3,24,1.33,1862,3193,0,2630.0372800925925,9.79,1,1,0,69,112,15,0.0,0.0,0.0,6.67,0.0,13.33,6.67,6.67,0,0,0,1,0,2,1,1,0,0,0.758
94,normal,0,1,0,0.0,21374,337,1,3700.304826388889,6.46,0,0,1,117,129,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.026
95,normal,0,1,0,0.0,285,495,0,3185.6038541666667,19.05,1,0,0,106,106,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.875
96,normal,0,1,0,0.0,636,1083,0,4510.965393518519,4.02,1,0,0,65,65,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.586
97,normal,0,1,0,0.0,346,890,0,4747.035497685185,1.9,1,0,0,81,81,17,0.0,11.76,0.0,0.0,0.0,17.65,11.76,5.88,0,2,0,0,0,3,2,1,1,0,0.318
98,normal,0,8,24,1.75,3294,2483,0,2002.4799189814812,3.23,1,0,1,66,90,12,0.0,0.0,0.0,0.0,0.0,8.33,0.0,8.33,0,0,0,0,0,1,0,1,0,0,0.0
99,normal,0,1,0,0.0,258,367,0,4376.623969907408,15.35,1,0,0,63,63,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
100,normal,0,1,0,0.0,4140,3736,0,4452.335555555555,412.94,1,0,1,106,114,24,0.0,0.0,0.0,0.0,4.17,8.33,4.17,4.17,0,0,0,0,1,2,1,1,0,0,-0.105
101,normal,0,1,0,0.0,221,295,0,2628.7565972222224,0.71,1,0,1,88,113,19,0.0,0.0,10.53,0.0,0.0,15.79,10.53,5.26,0,0,2,0,0,3,2,1,0,0,0.611
102,normal,0,1,0,0.0,124,283,0,3542.433842592593,0.18,1,0,0,88,88,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.34
103,normal,0,1,0,0.0,1490,43,0,3229.3274074074075,0.73,1,0,0,140,140,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.126
104,normal,0,1,0,0.0,4182,525,1,4764.919432870371,0.19,1,0,0,89,89,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.223
105,normal,0,1,0,0.0,279,275,0,2819.090486111111,0.75,1,0,0,92,92,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.421
106,normal,0,1,0,0.0,1654,1681,0,4024.959710648148,11.58,0,0,0,108,101,26,19.23,11.54,0.0,0.0,0.0,34.62,30.77,3.85,5,3,0,0,0,9,8,1,1,0,0.509
107,normal,0,1,0,0.0,2217,2071,0,2705.071724537037,9.89,1,0,0,79,79,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.908
108,normal,0,1,0,0.0,292,414,0,4765.071388888889,6.92,1,1,1,85,101,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.128
109,normal,0,1,0,0.0,60,203,0,4393.583449074074,0.19,1,0,1,42,53,8,0.0,12.5,0.0,12.5,0.0,37.5,25.0,12.5,0,1,0,1,0,3,2,1,1,0,0.541
110,normal,0,1,0,0.0,362,457,0,4032.172835648148,7.06,1,0,0,87,87,17,0.0,5.88,0.0,0.0,0.0,11.76,5.88,5.88,0,1,0,0,0,2,1,1,1,0,-0.511
111,normal,0,1,0,0.0,15,0,0,2072.568912037037,2.97,1,0,1,93,113,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
112,normal,0,1,0,0.0,2341,531,0,4038.0338310185184,1.52,1,1,1,100,133,22,9.09,0.0,0.0,0.0,0.0,9.09,9.09,0.0,2,0,0,0,0,2,2,0,0,0,0.318
113,normal,0,1,0,0.0,383,161,0,4972.045729166667,7.01,1,0,0,83,82,18,0.0,5.56,0.0,0.0,0.0,5.56,5.56,0.0,0,1,0,0,0,1,1,0,1,0,0.006
114,normal,0,1,0,0.0,16258,1267,0,4766.944097222222,5.8,1,1,0,84,97,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
115,normal,0,1,0,0.0,81,0,0,4336.008506944445,0.67,1,0,1,85,91,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
116,normal,0,1,0,0.0,104,0,0,2842.0695486111117,18.53,1,0,0,91,91,21,0.0,0.0,0.0,4.76,0.0,4.76,4.76,0.0,0,0,0,1,0,1,1,0,0,0,0.0
117,normal,0,1,0,0.0,1098,2891,0,4496.923310185185,2.95,1,1,0,66,105,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.691
118,normal,0,1,0,0.0,581,17,0,2694.4918402777776,808.09,1,0,1,62,79,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
119,normal,0,1,0,0.0,31,330,0,4141.360844907407,0.81,1,0,0,112,112,27,0.0,0.0,0.0,0.0,3.7,7.41,3.7,3.7,0,0,0,0,1,2,1,1,0,0,-0.402
120,normal,0,1,0,0.0,408,932,0,4049.2863657407406,0.84,0,0,1,95,109,21,4.76,4.76,9.52,0.0,0.0,19.05,19.05,0.0,1,1,2,0,0,4,4,0,1,0,0.0
121,normal,0,1,0,0.0,839,2332,0,4662.975451388889,6.14,0,0,0,129,129,34,14.71,0.0,0.0,0.0,0.0,29.41,14.71,14.71,5,0,0,0,0,10,5,5,0,0,0.44
122,normal,0,1,0,0.0,801,1333,0,1985.2421180555557,1.86,0,0,1,110,118,25,4.0,4.0,4.0,0.0,4.0,20.0,16.0,4.0,1,1,1,0,1,5,4,1,1,0,-0.273
123,normal,0,1,0,0.0,18,0,0,3978.9686458333335,0.73,1,0,0,85,85,14,0.0,14.29,0.0,0.0,0.0,14.29,14.29,0.0,0,2,0,0,0,2,2,0,1,0,0.402
124,normal,0,1,0,0.0,1224,4226,0,3362.900752314815,4.68,1,0,0,95,95,26,0.0,0.0,0.0,3.85,0.0,7.69,3.85,3.85,0,0,0,1,0,2,1,1,0,0,0.757
125,normal,0,3,2,1.33,313,237,0,4029.102743055556,11.24,1,0,0,116,116,29,6.9,0.0,0.0,0.0,3.45,17.24,10.34,6.9,2,0,0,0,1,5,3,2,0,0,-0.542
126,normal,0,1,0,0.0,32,197,0,4242.802106481481,14.95,1,0,0,94,94,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,-0.44
127,normal,0,1,0,0.0,130,232,0,3066.981111111111,0.57,1,0,0,110,109,27,0.0,0.0,0.0,0.0,0.0,7.41,0.0,7.41,0,0,0,0,0,2,0,2,0,0,0.624
128,normal,0,1,0,0.0,2157,353,0,4230.60744212963,17.62,0,1,1,111,144,26,0.0,3.85,0.0,0.0,0.0,7.69,3.85,3.85,0,1,0,0,0,2,1,1,1,1,0.511
129,normal,0,2,33,1.0,6112,2515,0,3433.994652777778,1.2,1,0,0,109,109,23,0.0,0.0,0.0,0.0,0.0,4.35,0.0,4.35,0,0,0,0,0,1,0,1,0,0,-0.75
130,normal,0,2,3,1.0,263,178,0,4553.776157407408,2.13,1,0,0,140,140,32,3.12,6.25,0.0,0.0,0.0,9.38,9.38,0.0,1,2,0,0,0,3,3,0,1,0,0.856
131,normal,0,1,0,0.0,47,226,0,2157.2066782407405,74.54,1,0,0,80,80,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.796
